Member_ID,End,Fx,Fy,Fz,Mx,My,Mz,End,Fx,Fy,Fz,Mx,My,Mz
99,Node_I,-1.284205,0.684573,-0.18748,33.496563,15.760847,126.788742,Node_J,1.284205,-0.684573,0.18748,-33.496563,16.863573,-7.66222
100,Node_I,24.29249,-0.245824,-0.528113,6.49475,16.440922,-20.605032,Node_J,-24.29249,0.245824,0.528113,-6.49475,11.628046,7.539611
101,Node_I,23.226954,-0.138344,-0.720186,-1.152855,21.815428,-8.714245,Node_J,-23.226954,0.138344,0.720186,1.152855,16.462204,1.361304
102,Node_I,19.656364,-0.345761,-0.55919,6.432371,15.894119,5.204515,Node_J,-19.656364,0.345761,0.55919,-6.432371,13.826595,-23.581594
103,Node_I,17.689678,-0.453241,-0.367116,-1.364884,17.477827,24.756227,Node_J,-17.689678,0.453241,0.367116,1.364884,2.03424,-48.845795
104,Node_I,12.628016,-0.466023,-0.541917,1.871466,7.257879,1.448385,Node_J,-12.628016,0.466023,0.541917,-1.871466,21.544804,-26.217295
105,Node_I,10.558216,-0.464349,-0.607432,2.440302,16.702463,31.253006,Node_J,-10.558216,0.464349,0.607432,-2.440302,15.582329,-55.932983
106,Node_I,14.548324,-0.256511,-0.849147,-3.273217,20.861271,6.445599,Node_J,-14.548324,0.256511,0.849147,3.273217,24.270569,-20.079058
107,Node_I,13.5859,-0.258185,-0.783632,-3.601563,17.047523,15.043346,Node_J,-13.5859,0.258185,0.783632,3.601563,24.602249,-28.765762
108,Node_I,0.192074,-0.450574,-0.107479,1.174633,7.647605,-33.462341,Node_J,-0.192074,0.450574,0.107479,-1.174633,7.797255,-31.285557
109,Node_I,-0.065515,0.553688,0.001674,5.035712,-0.568835,38.228401,Node_J,0.065515,-0.553688,-0.001674,-5.035712,0.328347,41.336956
110,Node_I,0.232594,1.504093,-0.097324,-9.922406,6.890719,80.984123,Node_J,-0.232594,-1.504093,0.097324,9.922406,7.669561,144.037674
111,Node_I,0.02471,-14.748507,0.328155,-18.611826,-7.221881,-197.454727,Node_J,-0.02471,14.748507,-0.328155,18.611826,-5.697627,-383.195282
112,Node_I,0.256439,6.858924,-0.205521,1.985669,12.567704,382.868103,Node_J,-0.256439,-6.858924,0.205521,-1.985669,10.330898,381.334869
113,Node_I,-0.018842,-5.00297,0.038056,16.708778,-3.49507,-373.664032,Node_J,0.018842,5.00297,-0.038056,-16.708778,-1.554092,-290.115753
114,Node_I,0.718561,0.436254,-0.16016,21.395111,13.200397,3.751654,Node_J,-0.718561,-0.436254,0.16016,-21.395111,10.760562,61.514709
115,Node_I,0.729348,-9.441808,0.230551,-7.643136,-6.806196,-71.735146,Node_J,-0.729348,9.441808,-0.230551,7.643136,-2.270617,-299.989655
116,Node_I,0.783176,5.747444,-0.044793,-64.137993,5.468634,333.433655,Node_J,-0.783176,-5.747444,0.044793,64.137993,0.474365,429.120911
117,Node_I,1.242616,-6.635288,-0.24358,-5.194467,12.117853,-377.818298,Node_J,-1.242616,6.635288,0.24358,5.194467,15.021155,-361.467743
118,Node_I,0.198787,5.921273,0.45944,-51.288372,-12.592218,58.85463,Node_J,-0.198787,-5.921273,-0.45944,51.288372,-5.495958,174.266418
119,Node_I,-0.161047,-1.118328,0.092058,19.633139,-5.201941,-140.168442,Node_J,0.161047,1.118328,-0.092058,-19.633139,-7.483203,-13.931848
120,Node_I,0.390711,4.81469,-0.010788,-10.272477,-3.954365,28.966978,Node_J,-0.390711,-4.81469,0.010788,10.272477,4.379071,160.587784
121,Node_I,-0.379723,-0.876225,0.030518,8.430395,-0.94598,-127.160919,Node_J,0.379723,0.876225,-0.030518,-8.430395,-3.259253,6.421298
122,Node_I,0.473779,10.137792,0.227259,-2.082149,-2.295241,184.014877,Node_J,-0.473779,-10.137792,-0.227259,2.082149,-6.651948,215.110855
123,Node_I,0.280418,-1.456252,0.071984,8.799981,-5.185553,-188.508408,Node_J,-0.280418,1.456252,-0.071984,-8.799981,-4.733449,-12.156231
124,Node_I,-0.213664,-5.900463,-0.075798,14.781635,5.569377,-20.381245,Node_J,0.213664,5.900463,0.075798,-14.781635,-2.585186,-211.920486
125,Node_I,-0.05839,3.446391,-0.26916,-11.840728,14.422687,222.790207,Node_J,0.05839,-3.446391,0.26916,11.840728,15.56637,161.197433
126,Node_I,3.14574,-0.450173,-0.13303,-0.411242,7.071697,-39.644634,Node_J,-3.14574,0.450173,0.13303,0.411242,11.259241,-22.387056
127,Node_I,3.641905,0.247318,0.001458,-10.728158,3.902815,24.870882,Node_J,-3.641905,-0.247318,-0.001458,10.728158,-4.10375,9.208366
